,KW-Name,Brutto­leistungin MWel,Wärmeaus­kopplungin MWth,Energie­träger,Standort,Bun­des­land,Inbetrieb­nahme/Ertüchtigung,(geplante)Still­legung,Bemerkungen,Betreiber,Koordinaten
0,"Gasturbinenkraftwerk Ahrensfelde[3]
","152
","0
","Erdgas
","Ahrensfelde
","Brandenburg Brandenburg
","GT A: 1990
GT B: 1990
GT C: 1990
GT D: 1990

","0!
GT A: 2016 Kaltreserve
GT B: 2016 Kaltreserve
GT C: 2016 Kaltreserve
GT D: 2016 Kaltreserve


","GT A: 38 MW (Netto)
GT B: 38 MW (Netto)
GT C: 38 MW (Netto)
GT D: 38 MW (Netto)
soll als Kapazitätsreserve genutzt werden[4]

","LEAG
","!552.5896115513.558611552° 35′ 22,6″ N, 013° 33′ 31,0″ O52.58961111111113.558611111111
"
1,"Heizkraftwerk Altbach/Deizisau[5]
","1350 (davon 855 Steinkohle, 305 Erdgas und 190 Erdgas/Öl)
","280
","Steinkohle: HKW 1, HKW 2
Öl: GT A, GT B, GT C, Block 4Erdgas: GT A, GT B, GT C, GT E, Block 4

","Altbach
Deizisau

","Baden-Württemberg Baden-Württemberg
","Block 1: 1950
Block 2: 1982
Block 3: 1960
Block 4: 1972 mit
GT A: 1972
HKW 1: 1985/2006
HKW 2: 1997/2012 mit
GT E: 1997
GT B: 1974
GT C: 1976

","Block 1: 1982
Block 2: 1993
Block 3: 1993
Block 4: 2000? (Kaltreserve)2019!
HKW 1: 2017 (Netzreserve)
(HKW 2 mit GT E, GT A, GT B und GT C: untersagt bis 1 Jahr nach Beginn der Engpassbewirtschaftung Deutschland/Österreich (1. Oktober 2018)[6], längstens bis 31. März 2020[1])

","Block 1: ? MW (Netto)
Block 2: ? MW (Netto)
Block 3: ? MW (Netto)
Block 4: ca. 175 MW (Netto) mit 
GT A: 50 MW (Netto)
HKW 1: 433 MW (Netto)
HKW 2: 336 MW (Netto) mit 
GT E: 65 MW (Netto)
GT B: 57 MW (Netto)
GT C: 81 MW (Netto)

","EnBW Energie Baden-Württemberg AG
","!548.7170615509.367475548° 43′ 01,4″ N, 009° 22′ 02,9″ O48.7170611111119.367475
"
2,"Industriekraftwerk Amsdorf[7]
(Grubenheizkraftwerk)

","55
","189
","Braunkohle
","Amsdorf
","Sachsen-Anhalt Sachsen-Anhalt
","1979
","
","45 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Montanwachsfabrik und des angeschlossenen Tagebaus Amsdorf

","ROMONTA GmbH
","
"
3,"Industriekraftwerk Annweiler[3]
","ca. 30
","?
","Erdgas
","Annweiler
","Rheinland-Pfalz Rheinland-Pfalz
","1976
","
","28 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Kartonfabrik

","Kartonfabrik Buchmann
","
"
4,"Industriekraftwerk Aschaffenburg[3]
","ca. 50
","?
","Erdgas: HKW, GuD
Heizöl: Notstromdiesel
Biomasse: BHKW 1 und BHKW 2

","Aschaffenburg
","Bayern Bayern
","HKW: ?
Notstromdiesel: 1991
BHKW 1: 2005
BHKW 2: 2010
GuD: 2013

","HKW: 2012



","HKW: 27 MW (Netto)
Notstromdiesel: 1 MW (Netto)
BHKW 1: 1 MW (Netto)
BHKW 2: 1 MW (Netto)
GuD: 47 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","DS Smith Paper Deutschland GmbH
","
"
5,"Kraftwerk Audorf[8]
","87
","0
","Mineralölprodukte
","Osterrönfeld
","Schleswig-Holstein Schleswig-Holstein
","1973
","
","87 MW (Netto)
","Uniper Kraftwerke GmbH
","
"
6,"Gasturbinen-Heizkraftwerk Augsburg-Ost[9]
","ca. 31
","41 (320 MWh Wärmespeicher)
","Erdgas
","Augsburg
","Bayern Bayern
","2004
","
","31 MW (Netto)
","Stadtwerke Augsburg Energie GmbH
","
"
7,"Heizkraftwerk Augsburg[3]
","ca. 20
","?
","Erdgas, Heizöl
","Augsburg
","Bayern Bayern
","1976
","
","20 MW (Netto)
","Stadtwerke Augsburg Energie GmbH
","
"
8,"Industriekraftwerk Augsburg[3]
","ca. 30
","?
","Erdgas
","Augsburg
","Bayern Bayern
","1976
","2015? (Kaltreserve)
","29 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","UPM GmbH Werk Augsburg
","
"
9,"Industriekraftwerk Bad Kreuznach[3]
","ca. 12
","?
","Erdgas
","Bad Kreuznach
","Rheinland-Pfalz Rheinland-Pfalz
","2006
","
","11 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Reifenfabrik

","Michelin Reifenwerke AG & Co. KGaA
","
"
10,"Heizkraftwerk Bad Salzungen[10][11]
","21
","67 (davon 20 aus KWK; ca. 300 MWh Wärmespeicher)
","Erdgas
","Bad Salzungen
","Thüringen Thüringen
","HKW: 1994
GM: 2018 

","
","HKW: 10 MW (Netto)
GM: 10 MW (Netto)

","TEAG Thüringer Energie AG
","
"
11,"Kraftwärme-Kopplungsanlage Barby[3]
","ca. 20
","?
","Erdgas
","Barby
","Sachsen-Anhalt Sachsen-Anhalt
","1994
","
","18 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Stärke- und Alkoholfabrik

","Cargill Deutschland GmbH
","
"
12,"GuD Baunatal[12]
","ca. 80
","312
","Erdgas
","Baunatal
","Hessen Hessen
","GuD: 2011
HKW Kassel: 1961

","HKW Kassel: 2013
","GuD: 78 MW (Netto)
HKW Kassel: 12 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Automobilfabrik

","Volkswagen AG
","
"
13,"Heizkraftwerk Bautzen[13]
","7
","33 (davon 8 aus KWK; 130 MWh Wärmespeicher)
","Erdgas
","Bautzen
","Sachsen Sachsen
","2017
","
","6 MW (Netto)
","Energie- und Wasserwerke Bautzen GmbH
","
"
14,"Kraftwerk Bergkamen[14][15]
","780
","20
","Steinkohle
","Bergkamen
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block A: 1981
","0!Block A: ?
","Block A: 717 MW (Netto)
","Steag GmbH
","!551.6367115507.620569551° 38′ 12,2″ N, 007° 37′ 14,0″ O51.6367111111117.6205694444444
"
15,"Heizkraftwerk Berlin-Adlershof[16]
","13
","96
","Erdgas
","Berlin-Adlershof
","Berlin Berlin
","1966/92/2015
","0!
","13 MW (Netto)
","Blockheizkraftwerks- Träger und Betriebsgesellschaft mbH Berlin
","
"
16,"Heizkraftwerk Berlin-Buch[17]
","13
","137
","Öl (Heizöl)Erdgas
","Berlin-Buch
","Berlin Berlin
","Altanlage: 1974
Neuanlage: 2014

","Altanlage: 2014


","13 MW (Netto)
","Vattenfall Europe Wärme AG
","!552.6350005513.510325552° 38′ 06,0″ N, 013° 30′ 37,2″ O52.63513.510325
"
17,"Heizkraftwerk Berlin-Charlottenburg[18]
","144
","295
","Öl (Heizöl)
Erdgas

","Berlin-Charlottenburg
","Berlin Berlin
","GT 4: 1976!1976/2000GT 5: 1976!1976/2000
GT 6: 1976!1976/2000

","GT 4: ?
GT 5: ?
GT 6: 2018

","GT 4: 72 MW (Netto)
GT 5: 72 MW (Netto)
GT 6: 67 MW (Netto)

","Vattenfall Europe Wärme AG
","!552.5221565513.308661552° 31′ 19,8″ N, 013° 18′ 31,2″ O52.52215555555613.308661111111
"
18,"Heizkraftwerk B11[19]
","2
","2
","Erdgas
","Berlin-Marienfelde
","Berlin Berlin
","?/2017
","
","2 MW (Netto)
","Daimler AG Mercedes Benz Werk Berlin
","
"
19,"Heizkraftwerk Berlin-Klingenberg[20]
","188
","1010 (davon 760 aus KWK)
","Erdgas
","Berlin-Rummelsburg
","Berlin Berlin
","1982
2017 Umrüstung von Braunkohle auf Erdgas

","2025!
(2025: Umrüstung von Erdgas auf Power to Heat geplant)

","164 MW (Netto)
","Vattenfall Europe Wärme AG
","!552.4900255513.495942552° 29′ 24,1″ N, 013° 29′ 45,4″ O52.49002513.495941666667
"
20,"Blockheizkraftwerk Berlin-Köpenick[21]
","10
","50
","Öl
Erdgas

","Berlin-Köpenick
","Berlin Berlin
","1994
","0!
","
","Vattenfall Europe Wärme AG
","!552.4352785513.581667552° 26′ 07,0″ N, 013° 34′ 54,0″ O52.43527777777813.581666666667
"
21,"Heizkraftwerk Berlin-Lichterfelde[22]
","ca. 480
","613
","Erdgas
","Berlin-Lichterfelde
","Berlin Berlin
","Block 1: 1972/98
Block 2: 1973/98
Block 3: 1974/98
GuD A: 2019

","2019!(Block 1: 2019/20)
Block 2: 2016
Block 3: 2018
GuD A: ?

","Block 1: 144 MW (Netto)
Block 2: 144 MW (Netto)
Block 3: 144 MW (Netto)
GuD A: 300 MW (Netto)

","Vattenfall Europe Wärme AG
","!552.4256255513.310267552° 25′ 32,3″ N, 013° 18′ 37,0″ O52.42562513.310266666667
"
22,"Heizkraftwerk Berlin-Marzahn[23]
","260!(260) im Bau
","230!(230) im Bau + ?
","Erdgas
","Berlin-Marzahn
","Berlin Berlin
","(GuD: 2019/20)
","0!
","GuD: 254 MW (Netto)
","Vattenfall Europe Wärme AG
","!552.5234035513.522211552° 31′ 24,3″ N, 013° 31′ 20,0″ O52.52340277777813.522211111111
"
23,"Heizkraftwerk Berlin-Mitte[24]
","468
","1210 (davon 680 aus KWK)
","Erdgas
","Berlin-Mitte
","Berlin Berlin
","1997
","0!
","444 MW (Netto)
GuD-Kraftwerk mit zwei GT und einer DT

","Vattenfall Europe Wärme AG
","!552.5115925513.420992552° 30′ 41,7″ N, 013° 25′ 15,6″ O52.51159166666713.420991666667
"
24,"Heizkraftwerk Berlin-Moabit[25]
","140 (davon ca. 105 Steinkohle und ca. 35 Mineralölprodukte)
","240
","SteinkohleBiomasse
Mineralölprodukte

","Berlin-Moabit
","Berlin Berlin
","Block A: 1969/1990
GT 7: 1971

","2030!
(Block A: spätestens 2030 Steinkohle-Verfeuerung[26])
GT 7: ?

","Block A: 89 MW (Netto)
GT 7: 34 MW (Netto)

","Vattenfall Europe Wärme AG
","!552.5375005513.345833552° 32′ 15,0″ N, 013° 20′ 45,0″ O52.537513.345833333333
"
25,"Fernheizwerk Berlin-Neukölln[27]
","ca. 10
","ca. 60 (incl. 10 PtH;
ca. 300 MWh Wärmespeicher)

","Erdgas/Heizöl
","Berlin-Neukölln
","Berlin Berlin
","2001/11/13/14
","
","ca. 10 MW (Netto) verteilt auf mehrere BHKWs
","Fernheizwerk Neukölln AG (Hauptaktionär: Vattenfall Eurpe Wärme AG)
","
"
26,"Heizkraftwerk Berlin-Neukölln[16]
","20
","98
","Erdgas
EBS (Altholz)

","Berlin-Neukölln
","Berlin Berlin
","2006
","0!
","20 MW (Netto)
","Blockheizkraftwerks- Träger und Betriebsgesellschaft mbH Berlin
","
"
27,"Heizkraftwerk Berlin-Schöneweide[16]
","10
","36
","Steinkohle
","Berlin-Schöneweide
","Berlin Berlin
","Altanlage: 1963
Neuanlage: 1992/2004

","0!
","10 MW (Netto)
","Blockheizkraftwerks- Träger und Betriebsgesellschaft mbH Berlin
","
"
28,"Heizkraftwerk Berlin-Reuter West[28]
","600
","758
(zuzüglich 120 (PtH und Erdgas) vom benachbarten ehemaligen Kraftwerk Reuter[29]; Wärmespeicher geplant[30])

","Steinkohle
","Berlin-Siemensstadt
","Berlin Berlin
","Block D: 1987
Block E: 1988

","2030!
(Block D und E: spätestens 2030 Steinkohle-Verfeuerung[26])

","Block D: 282 MW (Netto)
Block E: 282 MW (Netto)

","Vattenfall Europe Wärme AG
","!552.5345695513.244533552° 32′ 04,4″ N, 013° 14′ 40,3″ O52.53456944444413.244533333333
"
29,"Heizkraftwerk Berlin-Scharnhorststraße[31]
","12
","200
","Erdgas
","Berlin-Mitte
","Berlin Berlin
","2018
","0!
","12 MW (Netto)
","Vattenfall Europe Wärme AG
","
"
30,"Energieversorgung Berlin-Wedding[3]
","ca. 16
","?
","Erdgas
","Berlin-Wedding
","Berlin Berlin
","1972
","
","15 MW (Netto)
","Bayer AG
","
"
31,"Heizkraftwerk Berlin-Wilmersdorf[32]
","184
","285
","Öl (Heizöl)
","Berlin-Wilmersdorf
","Berlin Berlin
","GT 1: 1977
GT 2: 1977
GT 3: 1977

","2019!GT 1: ?
GT 2: ?
GT 3: 2019

","GT 1: 92 MW (Netto)
GT 2: 92 MW (Netto)
GT 3: 92 MW (Netto)

","Vattenfall Europe Wärme AG
","!552.4816365513.307867552° 28′ 53,9″ N, 013° 18′ 28,3″ O52.48163611111113.307866666667
"
32,"Kraftwerk Bernburg[3]
","155
","232
","Erdgas
","Bernburg
","Sachsen-Anhalt Sachsen-Anhalt
","1994
","0!
","141 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Chemieparks
Kraftwerk wird 2020  modernisiert[33]

","Solvay Chemicals GmbH
","
"
33,"Industriekraftwerk Ville/Berrenrath[34]
","107
","40
","BraunkohleBiomasse
Klärschlamm

","Hürth-Knapsack / Berrenrath
","Nordrhein-Westfalen Nordrhein-Westfalen
","1917/91
","0!
","98 MW (Netto)
Eingestromversorgung und Dampfversorgung des Kohleveredlungsbetriebes Ville/Berrenrath

","RWE Power AG
","!550.8653335506.824111550° 51′ 55,2″ N, 006° 49′ 26,8″ O50.8653333333336.8241111111111
"
34,"Kraftwerk Bexbach[35]
","780
","0
","Steinkohle
","Bexbach
","Saarland Saarland
","1983
","2020!
(untersagt bis 30.04.2020[1])

","726 MW (Netto)
","Steag GmbH
","!549.3634755507.237050549° 21′ 48,5″ N, 007° 14′ 13,4″ O49.3634757.23705
"
35,"Kraftwerk Chemiepark Bitterfeld[36]
","108
","110
","Erdgas
","Bitterfeld
","Sachsen-Anhalt Sachsen-Anhalt
","1976/2000
","0!
","106 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Chemieparks;
Turbine wird 2020 modernisiert[36]

","envia THERM GmbH
","
"
36,"Heizkraftwerk Bohrhügel[3]
","ca. 15
","?
","Erdgas
Heizöl

","Suhl
","Thüringen Thüringen
","1995
","
","14 MW (Netto)
","Stadtwerke Suhl/Zella-Mehlis
","
"
37,"Heizkraftwerk Bomlitz[3]
","ca. 15
","?
","Erdgas
","Bomlitz
","Niedersachsen Niedersachsen
","GuD: 1969
BHKW: 2019

","GuD: 2019[37]
BHKW: ?

","GuD: 16 MW (Netto)
BHKW: 13 MW (Netto)
Eigenstrom- und Dampfversorgung des Industrieparks Walsrode

","EnBW Energie Baden-Württemberg AG
","
"
38,"Kraftwerk Boxberg[38]
","2582
","125
","Braunkohle
","Boxberg
","Sachsen Sachsen
","Block N: 1979/1993
Block P: 1980/1994
Block Q: 2000
Block R: 2012

","0!
Block N: 2029 spätestens[39]
Block P: 2029 spätestens[39]
Block Q: 2038 spätestens
Block R: 2038 spätestens

","Block N: 465 MW (Netto)
Block P: 465 MW (Netto)
Block Q: 857 MW (Netto)
Block R: 640 MW (Netto)

","LEAG
","!551.4149865514.561600551° 24′ 54,0″ N, 014° 33′ 41,8″ O51.41498611111114.5616
"
39,"Heizkraftwerk Brandenburg an der Havel[40]
","ca. 40
","130 (davon 50 aus KWK; 64 MWh Wärmespeicher)
","Erdgas
","Brandenburg an der Havel
","Brandenburg Brandenburg
","1997
","
","37 MW (Netto)
","Stadtwerke Brandenburg an der Havel GmbH & Co. KG
","
"
40,"Blockheizkraftwerk ""Braunschweig""[3]
","ca. 11
","?
","Erdgas
","Wolfsburg
","Niedersachsen Niedersachsen
","2014
","
","10 MW (Netto)
","Volkswagen Kraftwerk GmbH
","
"
41,"Heizkraftwerk Braunschweig-Mitte[41]
","155 (davon ca. 55 Steinkohle und ca. 100 Erdgas)
","386 (500 MWh Wärmespeicher)
","Steinkohle: Block 1
Schweröl: Block 1, Block 12Heizöl: GuDErdgas: Block 1, Block 12, GuD

","Braunschweig
","Niedersachsen Niedersachsen
","Block 12: 1971
Block 1: 1984
GuD: 2010

","2022!
(Block 1: 2022 spätestens[42])

","Block 12: 20 MW (Netto)
Block 1: 43 MW (Netto)
GuD: 74 MW (Netto)
(Block 1 soll durch ein Gasturbinen-HKW mit ca. 20 MWel und ca. 60 MWth sowie durch ein Biomasse-HKW mit ca. 20 MWel und ca. 70 MWth ersetzt werden.[42])

","Braunschweiger Versorgungs-AG & Co. KG
","!552.2787695510.514989552° 16′ 43,6″ N, 010° 30′ 54,0″ O52.27876944444410.514988888889
"
42,"Heizkraftwerk Braunschweig-Nord[41]
","27
","80
","Erdgas
","Braunschweig
","Niedersachsen Niedersachsen
","GT: 1965
","
","GT: 25 MW (Netto)
","Braunschweiger Versorgungs-AG & Co. KG
","
"
43,"KWK-Anlage Bremen[3]
","ca. 16
","?
","Erdgas
","Bremen Industriehäfen
","Bremen Bremen
","1993/2002
","
","15 MW (Netto)
Eigenstrom- und Dampfversorgung für Kaffeeverarbeitung

","CR3-Kaffeeveredelung M. Hermsen GmbH
","
"
44,"Kraftwerk Bremen-Farge[43]
","397
","26
","Steinkohle
Klärschlamm

","Bremen-Farge
","Bremen Bremen
","Altwerk: 1924/26
Block 1: 1969/2007

","2024!Altwerk: 1980
(Block 1: 2024[44])

","Altwerk: ca. 12 MW (Netto)
Block 1: 350 MW (Netto)

","Onyx Power Assets GmbH
","!553.2021255508.516100553° 12′ 07,7″ N, 008° 30′ 58,0″ O53.2021258.5161
"
45,"Kraftwerk Bremen-Hafen[45]
","337
","39
","Steinkohle
","Bremen Industriehäfen
","Bremen Bremen
","Block 1: 1957Block 2: 1957Block 3: 1962Block 4: 1964Block 5: 1968Block 6: 1979/2013
","2026!Block 1: stillgelegtBlock 2: stillgelegtBlock 3: stillgelegtBlock 4: stillgelegtBlock 5: 2016Block 6: 2020
","Block 1: ?Block 2: ?Block 3: ?Block 4: ?Block 5: 127 MW (Netto)Block 6: 303 MW (Netto)
Nutzt auch Dampf vom benachbarten Mittelkalorik-Kraftwerk Bremen

","swb Erzeugung AG & Co. KG
","!553.1248725508.728642553° 07′ 29,5″ N, 008° 43′ 43,1″ O53.1248722222228.7286416666667
"
46,"Kraftwerk Bremen-Hastedt[45]
","130
","150 (230 MWh Wärmespeicher)
","Erdgas: Block 14
Steinkohle: Block 15

","Bremen-Hastedt
","Bremen Bremen
","Block 14: 1972
Block 15: 1989

","0!Block 14: 2016
Block 15: ?

","Block 14: 155 MW (Netto)Block 15: 119 MW (Netto)
","swb Erzeugung AG & Co. KG
","!553.0597785508.873167553° 03′ 35,2″ N, 008° 52′ 23,4″ O53.0597777777788.8731666666667
"
47,"Kraftwerk Bremen-Mittelsbüren[45]
","248
","0
","Schweröl: Blöcke 1, 2, 4 bis 2002
Heizöl: GT 3Erdgas: Blöcke 3, 4
Gichtgas, Konvertergas: Blöcke 1, 2, 3, sowie 4 ab 2002

","Bremen-Werderland
","Bremen Bremen
","Block 1: 1964Block 2: 1965
Block 3: 1975
GT 3: 1975
Block 4: 1975/2002

","0!Block 1: 2002
Block 2: 2004
Block 3: 2013
GT 3: ?
Block 4: ?

","Block 1: ca. 50 MW (Netto)Block 2: ca. 50 MW (Netto)
Block 3: 110 MW (Netto)
GT 3: 86 MW (Netto)
Block 4: 150 MW (Netto)

","swb Erzeugung AG & Co. KG
","!553.1289815508.683394553° 07′ 44,3″ N, 008° 41′ 00,2″ O53.1289805555568.6833944444444
"
48,"Gemeinschaftskraftwerk Bremen (GKB)[46]
","460
","0
","Erdgas
","Bremen-Werderland
","Bremen Bremen
","GuD: 2016
","0!
","GuD: 445 MW (Netto)
(davon 165 MW Bahnstrom)

","swb Erzeugung AG & Co. KG
","!553.1293815508.681978553° 07′ 45,8″ N, 008° 40′ 55,1″ O53.1293805555568.6819777777778
"
49,"Industriekraftwerk Bremerhaven[3]
","ca. 20
","?
","Erdgas
","Bremerhaven
","Bremen Bremen
","2014
","
","17 MW (Netto)
Eigenstrom- und Dampfversorgung für Titandioxid-Produktion

","Kronos Titan GmbH
","
"
50,"Industriekraftwerk Breuberg[47]
","12
","20
","Erdgas
","Breuberg
","Hessen Hessen
","1999
","
","11 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Pirelli-Werkes

","Industriekraftwerk Breuberg GmbH
","
"
51,"Kraftwerk Burghausen[3]
","178
","350
","Erdgas, Heizöl
","Burghausen
","Bayern Bayern
","GT: 2001
DT: 1979

","0!
","GT: 120 MW (Netto)
DT: 50 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Chemieparks

","Wacker Chemie AG
","48° 11'  14.719"" N, 012° 50' 6.958"" O
"
52,"Kraftwerk Buschhaus[48]
","405
","0
","Braunkohle
","Schöningen
","Niedersachsen Niedersachsen
","Block D: 1985
","2020!
(Block D: 01.10.2020[49]; seit dem 01.10.2016 in der Sicherheitsbereitschaft)

","Block D: 352 MW (Netto)
","Helmstedter Revier GmbH(Mitteldeutsche Braunkohlengesellschaft mbH)
","!552.1717645510.977192552° 10′ 18,4″ N, 010° 58′ 37,9″ O52.17176388888910.977191666667
"
53,"Industriekraftwerk Marl[3]
","ca. 550
","1213
","Steinkohle: KW I, KW II
Erdgas: KW III, KW IV
Rückstände der Chemieproduktion: KW I, KW II

","Marl
","Nordrhein-Westfalen Nordrhein-Westfalen
","KW I Dampfwirt-schaft: 1939
KW I Block 4: 1971
KW I Block 5: 1983
KW II Block 3: 1966
KW III Block 311: 1973/2003/2005
KW III Block 312: 1974/2003/2005
Kraftwerk IV: 2016
(Block ?: 2022)
(Block ?: 2022)

","0!
(KW I Block 4: 2022[50])
(KW I Block 5: 2022[50])
KW II Block 3: 2017




","KW I Dampfwirtschaft: 169 MW (Netto)
KW I Block 4: 56 MW (Netto)
KW I Block 5: 68 MW (Netto)
KW II Block 3: 60 MW (Netto)
Kraftwerk III Block 311: 61 MW (Netto)
Kraftwerk III Block 312: 78 MW (Netto)
Kraftwerk IV (GuD): 61 MW (Netto)
(GuD mit zwei Blöcken zu je 90 MWel geplant[50])
Eigenstrom- und Dampfversorgung des Chemieparks Marl

","Evonik Degussa GmbH
","!551.6927785507.109167551° 41′ 34,0″ N, 007° 06′ 33,0″ O51.6927777777787.1091666666667
"
54,"Heizkraftwerk Chemnitz-Nord[51]
","167
","390 (davon 305 aus KWK; ca. 700 MWh Wärmespeicher)
","Braunkohle: Block B, Block C
Heizöl / Erdgas: Block A

","Chemnitz
","Sachsen Sachsen
","Block A: 1986
Block B: 1988
Block C: 1990/2010

","2028!
Block A: 2016 nach Havarie
(Block B: 2022/29[52])
(Block C: 2022/29)

","Derzeit höchster Schornstein Deutschlands
Block A: 57 MW (Netto)
Block B: 57 MW (Netto)
Block C: 91 MW (Netto)
(Gasmotorenkraftwerk mit 80 MWel und 80 MWth in Planung, weiterhin wird ein Gasmotorenkraftwerk mit 50 MWel und 50 MWth am Standort Altchemnitz geplant, Inbetriebnahme für 2022 vorgesehen[53])

","Stadtwerke Chemnitz
","!550.8577815512.923831550° 51′ 28,0″ N, 012° 55′ 25,8″ O50.85778055555612.923830555556
"
55,"Kraftwerk Clauen[3]
","ca. 20
","?
","Erdgas, Biogas
","Hohenhameln
","Niedersachsen Niedersachsen
","2003
","
","16 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Zuckerfabrik

","Nordzucker AG, Werk Clauen
","
"
56,"Heizkraftwerk Cottbus[54]
","80
","120 (davon 90 aus KWK; 300 MWh Wärmespeicher im Bau)
","Braunkohle
","Cottbus
","Brandenburg Brandenburg
","1999
","2022!(2022)
","74 MW (Netto)
weltweit erstes Braunkohlekraftwerk mit Druckwirbelschichtverbrennung
(Umstellung auf Erdgas im Bau, dazu Erweiterung um ein Gasmotorenkraftwerk mit 50 MWel und 50 MWth[55])

","HKW Heizkraftwerksgesellschaft Cottbus mbH
","!551.7609125514.370271551° 45′ 39,3″ N, 014° 22′ 13,0″ O51.76091214.370271
"
57,"GTKW Darmstadt[56]
","95
","0
","Erdgas
","Darmstadt
","Hessen Hessen
","2012
","0!2012 (Netzreserve)
","95 MW (Netto)
zwei GT

","Entega AG
","49° 53' 8.502""  N, 008° 38' 57.383"" O
"
58,"Heizkraftwerk Darmstadt[3]
","11
","?
","Erdgas
","Darmstadt
","Hessen Hessen
","1999
","
","10 MW (Netto)
","Merck KGaA
","
"
59,"Kraftwerk Datteln[57]
","1100!(1100) im Bau
","380!(380) im Bau
","Steinkohle
","Datteln
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 1: 1964Block 2: 1965Block 3: 1969
Block 4: 2020?[58]

","0!Block 1: 2014Block 2: 2014Block 3: 2014(Block 4: 2038 spätestens)
","Block 1: 95 MW (Netto)
Block 2: 95 MW (Netto)
Block 3: 113 MW (Netto)
(Block 4: 1052 MW (Netto),
davon 413 MW Bahnstrom,seit 2007 im Bau, Bau zwischenzeitlich gerichtlich unterbrochen, Block läuft mittlerweile in Teillast)

","Uniper Kraftwerke GmbH
","!551.6300445507.331314551° 37′ 48,2″ N, 007° 19′ 52,7″ O51.6300444444447.3313138888889
"
60,"Kraftwerk Dessau[59]
","51
","ca. 200
(600 MWh Wärmespeicher)

","Erdgas
","Dessau-Roßlau
","Sachsen-Anhalt Sachsen-Anhalt
","Braunkohleblock: 1996
Erdgasblock: 1996
GT: 2019

","Braunkohleblock: 2019



","Braunkohleblock: 12 MW (Netto)
Erdgasblock: 37 MW (Netto)
GT: ca. 12 MW (Netto)

","Dessauer Versorgungs- und Verkehrsgesellschaft mbH - DVV - Stadtwerke
","
"
61,"Industriekraftwerk Deuben[60]
","86
","100
","Braunkohle
","Deuben
","Sachsen-Anhalt Sachsen-Anhalt
","1936/1993
","0!
","67 MW (Netto)
KWK-Anlage im Verbund mit einer Staub- und Brikettfabrik

","Mitteldeutsche Braunkohlengesellschaft mbH
","51° 6' 42.271""  N, 012° 4' 35.702"" O
"
62,"Gichtgaskraftwerk Dillingen[61]
","90
","ca. 25
(1000 MWh Wärmespeicher)

","Gichtgas
","Dillingen
","Saarland Saarland
","2010
","
","85 MW (Netto)
Eigenstrom- und Dampfversorgung für das örtliche Stahlwerk; Wärme-auskopplung zur Fernwärme-versorgung der Stadt

","Aktien-Gesellschaft der Dillinger Hüttenwerke, ROGESA Roheisengesellschaft Saar mbH und Zentralkokerei Saar GmbH
","
"
63,"Kraft-Wärme-Kopplungsanlage Dingolfing[3]
","ca. 20
","?
","Erdgas
","Dingolfing
","Bayern Bayern
","GT 1: 1997
GT 2: 1997
BA 1: 2017

","GT 1: 2017
GT 2: 2017


","GT 1: 7 MW (Netto)
GT 2: 7 MW (Netto)
BA 1: 16 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen PKW-Fabrik

","BMW AG
","
"
64,"Kraftwerk Dormagen[62]
","597
","480
","Erdgas, Heizöl
","Dormagen
","Nordrhein-Westfalen Nordrhein-Westfalen
","GuD: 2000
","0!
","GuD: 586 MW (Netto)
Eigenstrom- und Dampfversorgung für den Chempark Dormagen

","RWE Generation SE
","!551.0666675506.833333551° 04′ 00,0″ N, 006° 50′ 00,0″ O51.0666666666676.8333333333333
"
65,"Heizkraftwerk Dortmund[63]
","27
","170
","Erdgas
","Dortmund
","Nordrhein-Westfalen Nordrhein-Westfalen
","2004/14
","0!2022
","26 MW (Netto)
","RWE Generation SE
","!551.5701065507.528050551° 34′ 12,4″ N, 007° 31′ 41,0″ O51.5701055555567.52805
"
66,"Industriekraftwerk Dotternhausen[3]
","ca. 12
","0
","Ölschiefer
","Dotternhausen
","Baden-Württemberg Baden-Württemberg
","2007
","
","10 MW (Netto)
Eigenstromversorgung für das örtliche Zementwerk, Verbrennungsrückstand wird als Ausgangsstoff für Zement verwendet

","Holcim (Süddeutschland) GmbH
","
"
67,"Heizkraftwerk Dresden Nord[64]
","12
","70
","Erdgas
Heizöl

","Dresden
","Sachsen Sachsen
","1918/93/95/2018
","
","10 MW (Netto)
","Stadtwerke Dresden GmbH
","
"
